"Parent ID","Parent SKU","Product ID","Product SKU","Product Name","Slug","Permalink","Description","Excerpt","Product Published","Product Modified","Type","Visibility","Featured","Virtual","Downloadable","Price","Sale Price","Sale Price Dates From","Sale Price Dates To","Weight","Weight Unit","Height","Height Unit","Width","Width Unit","Length","Length Unit","Category","Tag","Featured Image","Product Gallery","Tax Status","Tax Class","File Download","Download Limit","Download Expiry","Manage Stock","Quantity","Stock Status","Allow Backorders","Sold Individually","Up-Sells","Cross-Sells","Product URL","Button Text","Purchase Note","Product Status","Comment Status"
,,"391","1891091","Vaso a Parete Baccellato","vaso-a-parete-baccellato","http://localhost:8888/sidi/shop/senza-categoria/vaso-a-parete-baccellato/",,,"11/11/2013","01/08/2014","Raggruppato","Hidden","No","No","No",,,,,,"kg","24","cm","95","cm","98","cm","Uncategorized",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
,,"390","1891091","Vaso a Muro Liscio","vaso-a-muro-liscio","http://localhost:8888/sidi/shop/senza-categoria/vaso-a-muro-liscio/",,,"11/11/2013","01/08/2014","Raggruppato","Hidden","No","No","No",,,,,,"kg","24","cm","95","cm","98","cm","Uncategorized",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
,,"389","1806050","Vaso a Muro Liscio &#8211; Mod. AM-50","modello-am-50","http://localhost:8888/sidi/shop/terra/modello-am-50/",,,"11/11/2013","01/08/2014","Semplice","Catalog & Search","No","No","No",,,,,,"kg","51","cm","42","cm","49","cm","Collezione Terra",,,,,,,,,"Yes","30","In Stock","No","No",,,,,,"Publish","Open"
,,"388","1891091","Balconetta Millerighe &#8211; Mod. BMR-100","modello-bmr-100","http://localhost:8888/sidi/shop/terra/modello-bmr-100/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","24","cm","95","cm","98","cm","Collezione Terra",,,,,,,,,"Yes","45","In Stock","No","No",,,,,,"Publish","Open"
,,"387","1891090","Balconetta Millerighe &#8211; Mod. BMR-90","modello-bmr-90","http://localhost:8888/sidi/shop/terra/modello-bmr-90/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","24","cm","86","cm","87","cm","Collezione Terra",,,,,,,,,"Yes","45","In Stock","No","No",,,,,,"Publish","Open"
,,"386","1891080","Balconetta Millerighe &#8211; Mod. BMR-80","modello-bmr-80","http://localhost:8888/sidi/shop/terra/modello-bmr-80/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","24","cm","75","cm","78","cm","Collezione Terra",,,,,,,,,"Yes","45","In Stock","No","No",,,,,,"Publish","Open"
,,"385","1871065","Pilone Millerighe &#8211; Mod. PM-65","modello-pm-65","http://localhost:8888/sidi/shop/terra/modello-pm-65/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","61","cm","35","cm","41","cm","Collezione Terra",,,,,,,,,"Yes","21","In Stock","No","No",,,,,,"Publish","Open"
,,"384","1871570","Pilone con Rosone &#8211; Mod. PR-70","modello-pr-70","http://localhost:8888/sidi/shop/terra/modello-pr-70/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","70","cm","44","cm","50","cm","Collezione Terra",,,,,,,,,"Yes","12","In Stock","No","No",,,,,,"Publish","Open"
,,"383","1850070","Millerighe Maxi &#8211; Mod. MMR-70","modello-mmr-70","http://localhost:8888/sidi/shop/terra/modello-mmr-70/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","49.5","cm","71.5","cm","74","cm","Collezione Terra",,,,,,,,,"Yes","12","In Stock","No","No",,,,,,"Publish","Open"
,,"382","1851120","Cassetta Millerighe &#8211; Mod. MR-120","modello-mr-120","http://localhost:8888/sidi/shop/terra/modello-mr-120/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","38","cm","115","cm","121","cm","Collezione Terra",,,,,,,,,"Yes","12","In Stock","No","No",,,,,,"Publish","Open"
,,"381","1851090","Cassetta Millerighe &#8211; Mod. MR-95","modello-mr-95","http://localhost:8888/sidi/shop/terra/modello-mr-95/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","38","cm","91","cm","95","cm","Collezione Terra",,,,,,,,,"Yes","18","In Stock","No","No",,,,,,"Publish","Open"
,,"380","1851080","Cassetta Millerighe &#8211; Mod. MR-80","modello-mr-80","http://localhost:8888/sidi/shop/terra/modello-mr-80/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","34","cm","76","cm","82","cm","Collezione Terra",,,,,,,,,"Yes","21","In Stock","No","No",,,,,,"Publish","Open"
,,"379","1851070","Cassetta Millerighe &#8211; Mod. MR-70","modello-mr-70","http://localhost:8888/sidi/shop/terra/modello-mr-70/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","29","cm","66","cm","70","cm","Collezione Terra",,,,,,,,,"Yes","32","In Stock","No","No",,,,,,"Publish","Open"
,,"378","1854110","Cassetta Millerighe Classica &#8211; Mod. MRC-110","modello-mrc-110","http://localhost:8888/sidi/shop/terra/modello-mrc-110/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","39","cm","102","cm","111.5","cm","Collezione Terra",,,,,,,,,"Yes","12","In Stock","No","No",,,,,,"Publish","Open"
,,"377","1854100","Cassetta Millerighe Classica &#8211; Mod. MRC-100","modello-mrc-100","http://localhost:8888/sidi/shop/terra/modello-mrc-100/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","39","cm","92","cm","98","cm","Collezione Terra",,,,,,,,,"Yes","18","In Stock","No","No",,,,,,"Publish","Open"
,,"376","1854090","Cassetta Millerighe Classica &#8211; Mod. MRC-90","modello-mrc-90","http://localhost:8888/sidi/shop/terra/modello-mrc-90/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","36","cm","83","cm","89","cm","Collezione Terra",,,,,,,,,"Yes","18","In Stock","No","No",,,,,,"Publish","Open"
,,"375","1854080","Cassetta Millerighe Classica &#8211; Mod. MRC-80","modello-mrc-80","http://localhost:8888/sidi/shop/terra/modello-mrc-80/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","31","cm","72","cm","81","cm","Collezione Terra",,,,,,,,,"Yes","21","In Stock","No","No",,,,,,"Publish","Open"
,,"374","1854075","Cassetta Millerighe Classica &#8211; Mod. MRC-75","modello-mrc-75","http://localhost:8888/sidi/shop/terra/modello-mrc-75/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","28","cm","65","cm","72","cm","Collezione Terra",,,,,,,,,"Yes","32","In Stock","No","No",,,,,,"Publish","Open"
,,"373","1854060","Cassetta Millerighe Classica &#8211; Mod. MRC-60","modello-mrc-60","http://localhost:8888/sidi/shop/terra/modello-mrc-60/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","23","cm","54","cm","60","cm","Collezione Terra",,,,,,,,,"Yes","60","In Stock","No","No",,,,,,"Publish","Open"
,,"372","1853895","Cassetta Liscia Rettangolare &#8211; Mod. CLR-100","modello-clr-100","http://localhost:8888/sidi/shop/terra/modello-clr-100/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","42","cm","89","cm","96","cm","Collezione Terra",,,,,,,,,"Yes","15","In Stock","No","No",,,,,,"Publish","Open"
,,"371","1853890","Cassetta Liscia Rettangolare &#8211; Mod. CLR-90","modello-clr-90","http://localhost:8888/sidi/shop/terra/modello-clr-90/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","37.7","cm","82.5","cm","89","cm","Collezione Terra",,,,,,,,,"Yes","18","In Stock","No","No",,,,,,"Publish","Open"
,,"370","1853880","Cassetta Liscia Rettangolare &#8211; Mod. CLR-80","modello-clr-80","http://localhost:8888/sidi/shop/terra/modello-clr-80/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","33.5","cm","74.5","cm","80","cm","Collezione Terra",,,,,,,,,"Yes","21","In Stock","No","No",,,,,,"Publish","Open"
,,"369","1853860","Cassetta Liscia Rettangolare &#8211; Mod. CLR-60","modello-clr-60","http://localhost:8888/sidi/shop/terra/modello-clr-60/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","25","cm","53","cm","60","cm","Collezione Terra",,,,,,,,,"Yes","36","In Stock","No","No",,,,,,"Publish","Open"
,,"368","1853580","Cassetta Liscia &#8211; Mod. CRL-80","modello-crl-80","http://localhost:8888/sidi/shop/terra/modello-crl-80/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","36.5","cm","68.5","cm","76.5","cm","Collezione Terra",,,,,,,,,"Yes","21","In Stock","No","No",,,,,,"Publish","Open"
,,"367","1803040","Quadro Toscano &#8211; Mod. QT-45","modello-qt-45","http://localhost:8888/sidi/shop/terra/modello-qt-45/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","39","cm","25","cm","43","cm","Collezione Terra",,,,,,,,,"Yes","150","In Stock","No","No",,,,,,"Publish","Open"
,,"366","1803035","Quadro Toscano &#8211; Mod. QT-35","modello-qt-35","http://localhost:8888/sidi/shop/terra/modello-qt-35/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","33","cm","21","cm","36","cm","Collezione Terra",,,,,,,,,"Yes","168","In Stock","No","No",,,,,,"Publish","Open"
,,"365","1803030","Quadro Toscano &#8211; Mod. QT-30","modello-qt-30","http://localhost:8888/sidi/shop/terra/modello-qt-30/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","27","cm","19","cm","31","cm","Collezione Terra",,,,,,,,,"Yes","232","In Stock","No","No",,,,,,"Publish","Open"
,,"364","1803025","Quadro Toscano &#8211; Mod. QT-25","modello-qt-25","http://localhost:8888/sidi/shop/terra/modello-qt-25/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","23","cm","16","cm","26","cm","Collezione Terra",,,,,,,,,"Yes","420","In Stock","No","No",,,,,,"Publish","Open"
,,"363","1804037","Quadro Millerighe &#8211; Mod. QM-42","modello-qm-42","http://localhost:8888/sidi/shop/terra/modello-qm-42/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","39","cm","41","cm","42","cm","Collezione Terra",,,,,,,,,"Yes","36","In Stock","No","No",,,,,,"Publish","Open"
,,"362","1804032","Quadro Millerighe &#8211; Mod. QM-35","modello-qm-35","http://localhost:8888/sidi/shop/terra/modello-qm-35/",,,"11/11/2013","12/20/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","34","cm","35","cm","36","cm","Collezione Terra",,,,,,,,,"Yes","36","In Stock","No","No",,,,,,"Publish","Open"
,,"361",,"Balconetta millerighe","balconetta-millerighe","http://localhost:8888/sidi/shop/senza-categoria/balconetta-millerighe/",,,"11/11/2013","11/18/2013","Raggruppato","Hidden","No","No","No",,,,,,"kg",,"cm",,"cm",,"cm","Uncategorized",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
,,"360",,"Pilone millerighe","pilone-millerighe","http://localhost:8888/sidi/shop/senza-categoria/pilone-millerighe/",,,"11/11/2013","11/18/2013","Raggruppato","Hidden","No","No","No",,,,,,"kg",,"cm",,"cm",,"cm","Uncategorized",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
,,"359",,"Pilone con rosone","pilone-con-rosone","http://localhost:8888/sidi/shop/senza-categoria/pilone-con-rosone/",,,"11/11/2013","11/18/2013","Raggruppato","Hidden","No","No","No",,,,,,"kg",,"cm",,"cm",,"cm","Uncategorized",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
,,"358",,"Millerighe maxi","millerighe-maxi","http://localhost:8888/sidi/shop/senza-categoria/millerighe-maxi/",,,"11/11/2013","11/18/2013","Raggruppato","Hidden","No","No","No",,,,,,"kg",,"cm",,"cm",,"cm","Uncategorized",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
,,"357",,"Cassetta millerighe","cassetta-millerighe","http://localhost:8888/sidi/shop/senza-categoria/cassetta-millerighe/",,,"11/11/2013","11/18/2013","Raggruppato","Hidden","No","No","No",,,,,,"kg",,"cm",,"cm",,"cm","Uncategorized",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
